This file was generated by Console at [2014:08:14-05:02:32]



[2014:08:14-05:02:32]  (Global) -> Ck'~Makaveli: wew
[2014:08:14-05:02:37]  (Global) -> Ck'~Makaveli: i like dis ping
[2014:08:14-05:02:41]  (Global) -> [NG]xXMADEXx: lmao
[2014:08:14-05:02:42]  (Global) -> [NG]xXMADEXx: my net sucks
[2014:08:14-05:02:55]  (Global) -> Ck'~Makaveli: i normally get 350 + ping
[2014:08:14-05:03:00]  (Global) -> [NG]xXMADEXx: .___.
[2014:08:14-05:03:02]  (Global) -> Ck'~Makaveli: And guess what my download speed is
[2014:08:14-05:03:07]  (Global) -> [NG]xXMADEXx: ?
[2014:08:14-05:03:10]  (Global) -> Ck'~Makaveli: 65+
[2014:08:14-05:03:16]  (Global) -> [NG]xXMADEXx: :_:
[2014:08:14-05:03:19]  (Global) -> [NG]xXMADEXx: AMAZING
[2014:08:14-05:03:22]  (Global) -> Ck'~Makaveli: :D
[2014:08:14-05:03:29]  (Global) -> [NG]xXMADEXx: nice bike bruh
[2014:08:14-05:03:49]  (Global) -> Ck'~Makaveli: http://www.speedtest.net/my-result/3683942119
[2014:08:14-05:03:55]  (Global) -> Ck'~Makaveli: Lol just did it again check hh
[2014:08:14-05:04:07]  (Global) -> [NG]xXMADEXx: D:
[2014:08:14-05:04:12]  (Global) -> [NG]xXMADEXx: my download is 17mb/s
[2014:08:14-05:04:16]  (Global) -> Ck'~Makaveli: is 5mbs a good upload ?
[2014:08:14-05:04:17]  (Global) -> [NG]xXMADEXx: upload is 0.7/s -_-
[2014:08:14-05:04:19]  (Global) -> [NG]xXMADEXx: very
[2014:08:14-05:04:23]  (Global) -> Ck'~Makaveli: oh
[2014:08:14-05:04:29]  (Global) -> [NG]xXMADEXx: i used to have
[2014:08:14-05:04:33]  (Global) -> [NG]xXMADEXx: download: 50mb/s
[2014:08:14-05:04:37]  (Global) -> [NG]xXMADEXx: upload: 4.5mb/s
