This file was generated by Console at [2014:08:15-12:17:25]



[2014:08:15-12:17:25]  (Global) -> [NG]killor1:  
[2014:08:15-12:26:13]  (Global) -> [NG]xXMADEXx: im a gummy bear in a gummy world
[2014:08:15-12:27:42]  (Global) -> [NG]killor1: she only like me for my car
[2014:08:15-12:27:56]  (Global) -> [NG]killor1: then my car got towed
[2014:08:15-12:31:07]  (Local) -> (LOCAL)[1][NG]killor1: noob
[2014:08:15-12:32:08]  (Local) -> (LOCAL)[1][NG]killor1: noob
[2014:08:15-12:34:00]  (Local) -> (LOCAL)[1][NG]killor1: ow
[2014:08:15-12:34:02]  (Local) -> (LOCAL)[1][NG]killor1: stop
[2014:08:15-12:34:03]  (Local) -> (LOCAL)[1][NG]killor1: noob
[2014:08:15-12:34:17]  (Local) -> (LOCAL)[1][NG]killor1: run
[2014:08:15-12:35:09]  (Global) -> [NG]killor1: join it
[2014:08:15-12:37:17]  (Local) -> (LOCAL)[1][NG]killor1: hi
[2014:08:15-12:37:22]  (Local) -> (LOCAL)[1][NG]YungNigga: hai
[2014:08:15-12:37:24]  (Local) -> (LOCAL)[1][NG]YungNigga: :3
[2014:08:15-12:37:28]  (Local) -> (LOCAL)[1][NG]killor1: u got butts?
[2014:08:15-12:37:40]  (Local) -> (LOCAL)[1][NG]YungNigga: nah
[2014:08:15-12:38:38]  (Local) -> (LOCAL)[1][NG]killor1: come here bby
[2014:08:15-12:38:42]  (Local) -> (LOCAL)[1][NG]killor1: gg
[2014:08:15-12:42:32]  (Local) -> (LOCAL)[1][NG]killor1: hi
[2014:08:15-12:43:31]  (Local) -> (LOCAL)[1][NG]killor1: hi
[2014:08:15-12:48:06]  (Local) -> (LOCAL)[1][NG]killor1: smd
[2014:08:15-12:49:07]  (Local) -> (LOCAL)[1][NG]killor1: fat mofo
[2014:08:15-12:49:09]  (Local) -> (LOCAL)[1][NG]killor1: smd
[2014:08:15-12:52:29]  (Local) -> (LOCAL)[1][NG]killor1: we gonna do this or what
[2014:08:15-12:58:17]  (Local) -> (LOCAL)[1][NG]killor1: ello mate
[2014:08:15-13:09:03]  (Global) -> [NG]killor1: me pro
[2014:08:15-14:14:08]  (Local) -> (LOCAL)[1][NG]killor1: sup
