This file was generated by Console at 2015:03:22-21:37:32



[2015:03:22-21:37:32]  (Global) -> [NG]xXMADEXx: x
[2015:03:22-21:56:55]  (Global) -> Aniis: Hey
[2015:03:22-21:57:13]  (Global) -> [NG]xXMADEXx: em hi
[2015:03:22-21:57:25]  (Global) -> Aniis: i'am Friend With You In Skype xD
[2015:03:22-21:57:33]  (Global) -> [NG]xXMADEXx: lol ok
[2015:03:22-21:58:21]  (Global) -> Aniis: you Back to scripting :D
[2015:03:22-21:58:30]  (Global) -> [NG]xXMADEXx: ye
[2015:03:22-21:58:35]  (Global) -> Aniis: nice ;)
[2015:03:22-22:03:31]  (Global) -> Aniis: madexx
[2015:03:22-22:03:38]  (Global) -> [NG]xXMADEXx: ?
[2015:03:22-22:03:51]  (Global) -> Aniis: i can't Create Group
[2015:03:22-22:04:06]  (Global) -> [NG]xXMADEXx: does it say anything?
[2015:03:22-22:04:33]  (Global) -> Aniis: nope But When i Write Name and Color After He say Create Not Group managment
[2015:03:22-22:05:17]  (Global) -> [NG]xXMADEXx:  check /debugscript 3
[2015:03:22-22:05:21]  (Global) -> [NG]xXMADEXx: and tell me if it says an error
[2015:03:22-22:05:38]  (Global) -> [NG]Aniis: yes
[2015:03:22-22:05:46]  (Global) -> [NG]xXMADEXx: fail
[2015:03:22-22:06:19]  (Global) -> [NG]xXMADEXx: good
[2015:03:22-22:06:28]  (Global) -> [NG]Aniis: bro there I error In NGGroups
[2015:03:22-22:06:32]  (Global) -> [NG]xXMADEXx: whats it say?
[2015:03:22-22:07:03]  (Global) -> [NG]Aniis: error: NGgroups/groups_c.lua:269 bad argument #1
[2015:03:22-22:07:31]  (Global) -> [NG]Aniis: madexx There Is A bug i'am An Admin o.O
[2015:03:22-22:07:41]  (Global) -> [NG]xXMADEXx: made you an admin to check debugscript
[2015:03:22-22:07:51]  (Global) -> [NG]Aniis: lol Okey
[2015:03:22-22:08:00]  (Global) -> [NG]xXMADEXx: did it say anything else in that error?
[2015:03:22-22:08:23]  (Global) -> [NG]Aniis: table expected ,got nil
[2015:03:22-22:08:27]  (Global) -> [NG]xXMADEXx: hm
[2015:03:22-22:09:44]  (Global) -> [NG]Aniis: Error:NGinventory/inven-serverlua:16 attempt to index global 'source'(a userdata value)
[2015:03:22-22:10:18]  (Global) -> [NG]xXMADEXx: how bout now?
[2015:03:22-22:10:34]  (Global) -> [NG]Aniis: No Errors
[2015:03:22-22:10:49]  (Global) -> [NG]xXMADEXx: strange
[2015:03:22-22:11:44]  (Global) -> [NG]Aniis: but The gang Has the Same Probleme
[2015:03:22-22:13:25]  (Global) -> [NG]Aniis: many many errors
[2015:03:22-22:13:34]  (Global) -> [NG]xXMADEXx: ik
[2015:03:22-22:13:48]  (Global) -> [NG]Aniis: i'am Just Telling what i see Xd
[2015:03:22-22:13:57]  (Global) -> [NG]xXMADEXx: i fked up a file in the admin resource xD
[2015:03:22-22:14:15]  (Global) -> [NG]Aniis: xD try TO FIX it xD
[2015:03:22-22:14:59]  (Global) -> [NG]Aniis: oh shit
[2015:03:22-22:18:52]  (Global) -> [NG]Aniis: no Errors :D
[2015:03:22-22:19:39]  (Local) -> (LOCAL)[0][NG]Aniis: h
[2015:03:22-22:19:44]  (Local) -> (LOCAL)[0][NG]Aniis: test
[2015:03:22-22:21:06]  (Global) -> [NG]Aniis: it's 5:20 Morning In My country
[2015:03:22-22:21:14]  (Global) -> [NG]xXMADEXx: 10pm for me
[2015:03:22-22:21:21]  (Global) -> [NG]xXMADEXx: well 10:20
[2015:03:22-22:21:32]  (Global) -> [NG]Aniis: yes you are in america
[2015:03:22-22:22:12]  (Global) -> [NG]Aniis: you make This Server For testing 
[2015:03:22-22:22:14]  (Global) -> [NG]Aniis: ?
[2015:03:22-22:22:20]  (Global) -> [NG]xXMADEXx: yes
[2015:03:22-22:22:32]  (Global) -> [NG]Aniis: becasue I see You're Ping
[2015:03:22-22:22:35]  (Global) -> [NG]Aniis: xD
[2015:03:22-22:23:16]  (Global) -> [NG]Aniis: you wiill Not Open NG Again ?
[2015:03:22-22:23:20]  (Global) -> [NG]xXMADEXx: nah
[2015:03:22-22:27:26]  (Global) -> [NG]Aniis: i need Go sleep Bro 
[2015:03:22-22:27:30]  (Global) -> [NG]xXMADEXx: alright
[2015:03:22-22:27:43]  (Global) -> [NG]Aniis: i see You tomorow Of server Not closed
[2015:03:22-22:27:47]  (Local) -> (LOCAL)[1][NG]Aniis: if*
[2015:03:22-22:27:48]  (Global) -> [NG]xXMADEXx: Bye
[2015:03:22-22:27:58]  (Global) -> [NG]Aniis: GN
