This file was generated by Console at 2015:03:25-16:58:57



[2015:03:25-16:58:57]  (Global) -> [NG]Aniis: hey
[2015:03:25-17:00:26]  (Global) -> [NG]xXMADEXx: hi
[2015:03:25-17:02:14]  (Global) -> [NG]Aniis: ./am Here IS working But For Me show error 
[2015:03:25-17:02:18]  (Global) -> [NG]Aniis: forget It xD
[2015:03:25-17:02:29]  (Global) -> [NG]xXMADEXx: on this server or  yours?
[2015:03:25-17:02:38]  (Global) -> [NG]Aniis: mine
[2015:03:25-17:02:44]  (Global) -> [NG]xXMADEXx: ha
[2015:03:25-17:02:47]  (Global) -> [NG]xXMADEXx: ah *
[2015:03:25-17:02:57]  (Global) -> [NG]Aniis: yeah xD
[2015:03:25-17:03:33]  (Global) -> [NG]Aniis: thnx Man You ehlp too mush this days ;)
[2015:03:25-17:03:38]  (Global) -> [NG]Aniis: help*
[2015:03:25-17:03:49]  (Global) -> [NG]xXMADEXx: Type /selldrugs
[2015:03:25-17:03:51]  (Global) -> [NG]xXMADEXx: and sell somethign
[2015:03:25-17:04:26]  (Global) -> [NG]xXMADEXx: erh
[2015:03:25-17:04:34]  (Global) -> [NG]xXMADEXx: ./stopselling
[2015:03:25-17:05:27]  (Global) -> [NG]xXMADEXx: again
[2015:03:25-17:05:39]  (Global) -> [NG]xXMADEXx: wtf
[2015:03:25-17:05:48]  (Global) -> [NG]Aniis: it show for me
[2015:03:25-17:06:31]  (Global) -> [NG]xXMADEXx: again
[2015:03:25-17:06:54]  (Global) -> [NG]xXMADEXx: ok
[2015:03:25-17:06:55]  (Global) -> [NG]xXMADEXx: thanks
[2015:03:25-17:06:57]  (Global) -> [NG]Aniis: Awsome
[2015:03:25-17:07:03]  (Global) -> [NG]xXMADEXx: making this for a client
[2015:03:25-17:07:17]  (Global) -> [NG]Aniis: Nice Job ;)
[2015:03:25-17:09:00]  (Global) -> [NG]Aniis: lol fail
[2015:03:25-17:10:41]  (Global) -> [NG]Aniis: wow
[2015:03:25-17:11:09]  (Global) -> [NG]xXMADEXx: lol i love the marijuana drug
[2015:03:25-17:11:17]  (Global) -> [NG]Aniis: lol :D
[2015:03:25-17:11:38]  (Global) -> [NG]Aniis: madew when you need to test somthing in server Just tell me to help xD
[2015:03:25-17:11:41]  (Global) -> [NG]Aniis: madex*
[2015:03:25-17:12:21]  (Global) -> [NG]xXMADEXx: afk gtg clean my kitchen
[2015:03:25-17:12:41]  (Global) -> [NG]Aniis: Okey take you're Time
[2015:03:25-17:13:23]  (Global) -> [NG]Aniis: how to see you're Job State ?
[2015:03:25-17:18:47]  (Global) -> [NG]Aniis: i will back For 2mn
[2015:03:25-17:37:11]  (Global) -> [NG]xXMADEXx: back
[2015:03:25-17:37:16]  (Global) -> [NG]Aniis: welcome back
[2015:03:25-17:37:19]  (Global) -> [NG]xXMADEXx: ty
[2015:03:25-17:37:24]  (Global) -> [NG]Aniis: ^_^
[2015:03:25-17:38:22]  (Global) -> [NG]Aniis: how to see job state ?
[2015:03:25-17:39:03]  (Global) -> [NG]xXMADEXx: ?
[2015:03:25-17:39:25]  (Global) -> [NG]Aniis: in pilot How i need to pass to next level ?
[2015:03:25-17:40:01]  (Global) -> [NG]xXMADEXx: ah I never finished that
[2015:03:25-17:40:18]  (Global) -> [NG]Aniis: :D
[2015:03:25-17:40:54]  (Global) -> [NG]Aniis: how to be Pro scripter Like you ?
[2015:03:25-17:41:08]  (Global) -> [NG]xXMADEXx: Dedication.
[2015:03:25-17:42:00]  (Global) -> [NG]Aniis: me When i make Somthing and It's Not Work I get Bored
[2015:03:25-17:43:07]  (Global) -> [NG]xXMADEXx: I get bored all the time when scripting
[2015:03:25-17:43:47]  (Global) -> [NG]Aniis: :(
[2015:03:25-17:44:56]  (Global) -> [NG]Aniis: NGadminstation Send Me Many Error In my server
[2015:03:25-17:59:54]  (Global) -> [CSI]Nob*ACAB#TN[TSF]: hi
[2015:03:25-17:59:57]  (Global) -> [NG]xXMADEXx: Hello
[2015:03:25-18:00:01]  (Global) -> [NG]Aniis: Hey
[2015:03:25-18:00:02]  (Global) -> [CSI]Nob*ACAB#TN[TSF]: warp me
[2015:03:25-18:00:22]  (Local) -> (LOCAL)[2][CSI]Nob*ACAB#TN[TSF]: promet me staff
[2015:03:25-18:00:26]  (Local) -> (LOCAL)[2][NG]xXMADEXx: why
[2015:03:25-18:00:48]  (Local) -> (LOCAL)[2][CSI]Nob*ACAB#TN[TSF]: promet
[2015:03:25-18:01:02]  (Local) -> (LOCAL)[1][NG]Aniis: awsome
[2015:03:25-18:01:06]  (Local) -> (LOCAL)[1][NG]xXMADEXx: actually banned him lol
[2015:03:25-18:01:16]  (Local) -> (LOCAL)[1][NG]Aniis: lol
[2015:03:25-18:01:36]  (Local) -> (LOCAL)[1][NG]Aniis: say him to donate to be admin
[2015:03:25-18:01:41]  (Local) -> (LOCAL)[1][NG]xXMADEXx: lmao
[2015:03:25-18:01:50]  (Local) -> (LOCAL)[1][NG]xXMADEXx: look at his job
[2015:03:25-18:01:52]  (Local) -> (LOCAL)[1][NG]xXMADEXx: on scoreboard
[2015:03:25-18:02:04]  (Local) -> (LOCAL)[1][NG]Aniis: nice Job
[2015:03:25-18:02:08]  (Local) -> (LOCAL)[1][NG]xXMADEXx: i want that job
[2015:03:25-18:02:09]  (Local) -> (LOCAL)[1][NG]Aniis: better then admin
[2015:03:25-18:02:17]  (Local) -> (LOCAL)[1][NG]Aniis: me Too
[2015:03:25-18:02:24]  (Local) -> (LOCAL)[1][NG]xXMADEXx: here
[2015:03:25-18:02:48]  (Local) -> (LOCAL)[1][NG]Aniis: thnx
[2015:03:25-18:02:49]  (Global) -> [NG]xXMADEXx: ther
[2015:03:25-18:02:57]  (Local) -> (LOCAL)[1][NG]Aniis: i love this Job
[2015:03:25-18:03:14]  (Local) -> (LOCAL)[1][NG]Aniis: you write That ?
[2015:03:25-18:03:17]  (Local) -> (LOCAL)[1][NG]xXMADEXx: ye
[2015:03:25-18:03:27]  (Local) -> (LOCAL)[1][NG]Aniis: you are robot
[2015:03:25-18:03:55]  (Local) -> (LOCAL)[1][NG]Aniis: i take Time to write Hello
[2015:03:25-18:03:59]  (Local) -> (LOCAL)[1][NG]Aniis: -.-
[2015:03:25-18:04:01]  (Local) -> (LOCAL)[1][NG]xXMADEXx: xD
[2015:03:25-18:04:06]  (Local) -> (LOCAL)[1][NG]xXMADEXx: been scripting for years
[2015:03:25-18:04:21]  (Local) -> (LOCAL)[1][NG]Aniis: shit
[2015:03:25-18:04:27]  (Local) -> (LOCAL)[1][NG]Aniis: i wanna Be like you
[2015:03:25-18:04:53]  (Local) -> (LOCAL)[1][NG]xXMADEXx: idk what to do
[2015:03:25-18:04:56]  (Local) -> (LOCAL)[1][NG]Aniis: i always See your Post in mta forum
[2015:03:25-18:05:00]  (Local) -> (LOCAL)[1][NG]xXMADEXx: ye
[2015:03:25-18:05:15]  (Local) -> (LOCAL)[1][NG]Aniis: only you and castillo help Players xD
[2015:03:25-18:05:22]  (Local) -> (LOCAL)[1][NG]xXMADEXx: lol
[2015:03:25-18:05:27]  (Local) -> (LOCAL)[1][NG]xXMADEXx: castillo is by bitch <3
[2015:03:25-18:05:35]  (Local) -> (LOCAL)[1][NG]xXMADEXx: we always troll people on SAUR xD
[2015:03:25-18:05:44]  (Local) -> (LOCAL)[1][NG]Aniis: i'am Player From saur
[2015:03:25-18:05:49]  (Local) -> (LOCAL)[1][NG]xXMADEXx: i used to be
