This file was generated by Console at 2015:05:15-18:56:17



[2015:05:15-18:56:17]  (Global) -> [NG]xXMADEXx: df
[2015:05:15-18:56:30]  (Global) -> Castillo: lol
[2015:05:15-18:56:33]  (Global) -> Castillo: F2
[2015:05:15-18:56:38]  (Global) -> [NG]xXMADEXx: guess i never finished the script to update the waypoint loc lol
[2015:05:15-18:56:43]  (Global) -> [NG]xXMADEXx: lagging df out the server lmao
[2015:05:15-18:56:51]  (Global) -> [NG]xXMADEXx: needa make a new group sys
[2015:05:15-18:59:51]  (Global) -> [NG]xXMADEXx: run around
[2015:05:15-19:00:10]  (Global) -> [NG]xXMADEXx: good
[2015:05:15-19:00:11]  (Global) -> [NG]xXMADEXx: works now
[2015:05:15-19:00:17]  (Global) -> Castillo: pro inventory
[2015:05:15-19:00:20]  (Global) -> [NG]xXMADEXx: ikr
[2015:05:15-19:00:23]  (Global) -> [NG]xXMADEXx: 10/10 
[2015:05:15-19:00:49]  (Global) -> [NG]xXMADEXx: u gonna be doing anything else soon?
[2015:05:15-19:00:54]  (Global) -> Castillo: ?
[2015:05:15-19:01:00]  (Global) -> [NG]xXMADEXx: got another bug that i needa fix, but idk how long it'll take
[2015:05:15-19:01:39]  (Global) -> Castillo: yeah, I need to do something
[2015:05:15-19:01:50]  (Global) -> [NG]xXMADEXx: ah ok, ill find some ass-licker to help lol
[2015:05:15-19:01:52]  (Global) -> [NG]xXMADEXx: thanks
[2015:05:15-19:01:59]  (Global) -> Castillo: get a virtual machine
[2015:05:15-19:02:05]  (Global) -> [NG]xXMADEXx: too much work :D
[2015:05:15-19:03:24]  (Law) -> [NG]xXMADEXx: Test
[2015:05:15-19:03:24]  (Law) -> (LAW)[NG]xXMADEXx: #ffffffTest
