This file was generated by Console at 2015:05:16-14:03:49



[2015:05:16-14:03:49]  (Global) -> AdminMedallo: hey
[2015:05:16-14:03:52]  (Global) -> [NG]xXMADEXx: yo
[2015:05:16-14:04:09]  (Global) -> AdminMedallo: Whats isnew bro?
[2015:05:16-14:04:16]  (Global) -> [NG]xXMADEXx: well i fixed the GPS lol
[2015:05:16-14:04:16]  (Global) -> AdminMedallo: All good?
[2015:05:16-14:04:24]  (Global) -> AdminMedallo: Noo
[2015:05:16-14:04:26]  (Global) -> AdminMedallo: How are you
[2015:05:16-14:04:29]  (Global) -> [NG]xXMADEXx: ah xD
[2015:05:16-14:04:30]  (Global) -> AdminMedallo: Its my question
[2015:05:16-14:04:31]  (Global) -> [NG]xXMADEXx: good, u?
[2015:05:16-14:04:39]  (Global) -> AdminMedallo: All good
[2015:05:16-14:04:55]  (Global) -> AdminMedallo: The one in the chamber have 1 bug
[2015:05:16-14:05:00]  (Global) -> [NG]xXMADEXx: ?
[2015:05:16-14:05:06]  (Global) -> AdminMedallo: When the event stopts
[2015:05:16-14:05:17]  (Global) -> AdminMedallo: You can kill the player ilimitated whit the pistol
[2015:05:16-14:05:25]  (Global) -> [NG]xXMADEXx: join it
[2015:05:16-14:05:51]  (Global) -> AdminMedallo: Omg what a hungry
[2015:05:16-14:06:09]  (Global) -> [NG]xXMADEXx: erm
[2015:05:16-14:06:13]  (Global) -> [NG]xXMADEXx: event script just bugged df out
[2015:05:16-14:06:15]  (Global) -> AdminMedallo: where are you?
[2015:05:16-14:06:21]  (Global) -> [NG]xXMADEXx: outside
[2015:05:16-14:06:23]  (Global) -> [NG]xXMADEXx: on the port
[2015:05:16-14:06:25]  (Global) -> [NG]xXMADEXx: dock
[2015:05:16-14:06:37]  (Global) -> AdminMedallo: warp?
[2015:05:16-14:06:55]  (Global) -> [NG]xXMADEXx: here
[2015:05:16-14:07:08]  (Global) -> AdminMedallo: Yeah
[2015:05:16-14:07:09]  (Global) -> AdminMedallo: see now
[2015:05:16-14:07:15]  (Global) -> AdminMedallo: Give me the pistol
[2015:05:16-14:07:32]  (Global) -> AdminMedallo: Come here
[2015:05:16-14:07:43]  (Global) -> [NG]xXMADEXx: the fuck
[2015:05:16-14:07:43]  (Global) -> AdminMedallo: lel
[2015:05:16-14:07:46]  (Global) -> AdminMedallo: hahahhaa
[2015:05:16-14:08:04]  (Global) -> [NG]xXMADEXx: no idea how that happend
[2015:05:16-14:08:29]  (Global) -> AdminMedallo: The vips
[2015:05:16-14:08:36]  (Global) -> AdminMedallo: It doesnt send the money
[2015:05:16-14:09:36]  (Global) -> AdminMedallo: This server its local?
[2015:05:16-14:09:42]  (Global) -> [NG]xXMADEXx: ?
[2015:05:16-14:09:48]  (Global) -> AdminMedallo: This 
[2015:05:16-14:09:54]  (Global) -> AdminMedallo: Runs in your computer?
[2015:05:16-14:09:57]  (Global) -> [NG]xXMADEXx: ye
[2015:05:16-14:10:04]  (Global) -> AdminMedallo: Omg how much internet you have?
[2015:05:16-14:10:15]  (Global) -> [NG]xXMADEXx: down like 25mb/s i think
[2015:05:16-14:10:19]  (Global) -> AdminMedallo: Omg
[2015:05:16-14:10:20]  (Global) -> [NG]xXMADEXx: tuplaod is like 2mb/s though lol
[2015:05:16-14:10:29]  (Global) -> AdminMedallo: I have 5mb
[2015:05:16-14:10:36]  (Global) -> [NG]xXMADEXx: kill meh
[2015:05:16-14:10:43]  (Global) -> AdminMedallo: die yu bitch
[2015:05:16-14:10:54]  (Global) -> [NG]xXMADEXx: shit
[2015:05:16-14:10:58]  (Global) -> AdminMedallo: What happend?
[2015:05:16-14:11:24]  (Global) -> [NG]xXMADEXx: debug errors
[2015:05:16-14:11:38]  (Global) -> AdminMedallo: Bro
[2015:05:16-14:11:49]  (Global) -> AdminMedallo: The servers doesnt send the money to the vips
[2015:05:16-14:11:54]  (Global) -> [NG]xXMADEXx: eh ill fix that
[2015:05:16-14:12:09]  (Global) -> Daniel: k
[2015:05:16-14:12:25]  (Global) -> Daniel: Need some help in something?
[2015:05:16-14:12:32]  (Global) -> [NG]xXMADEXx: do me a favor and spam F2
[2015:05:16-14:12:36]  (Global) -> [NG]xXMADEXx: seeing if it lags
[2015:05:16-14:12:55]  (Global) -> [NG]xXMADEXx: did you do it>?
[2015:05:16-14:12:58]  (Global) -> Daniel: Yes
[2015:05:16-14:13:02]  (Global) -> [NG]xXMADEXx: good :D
[2015:05:16-14:13:02]  (Global) -> Daniel: A lot of messages
[2015:05:16-14:13:03]  (Global) -> [NG]xXMADEXx: no lag lol
